City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,castillos,-34.1667,-53.8333,29.73,40,0,3.23,UY,1704826726
83,stanley,54.868,-1.6985,2.65,79,75,4.12,GB,1704826638
84,santyoku,37.4406,129.1708,2.8,80,99,4.08,KR,1704826726
85,fuglafjordur,62.244,-6.814,4.26,73,17,3.04,FO,1704826727
86,dudinka,69.4058,86.1778,-17.99,80,100,3.58,RU,1704826727
87,arraial do cabo,-22.9661,-42.0278,27.92,65,40,6.17,BR,1704826727
88,waitangi,-43.9535,-176.5597,13.23,77,100,1.34,NZ,1704826727
89,puerto ayora,-0.7393,-90.3518,30.98,86,40,4.02,EC,1704826727
90,geraldton,-28.7667,114.6,22.23,78,100,7.72,AU,1704826727
91,hithadhoo,-0.6,73.0833,27.67,76,27,2.17,MV,1704826728
92,ta`u,-14.2336,-169.5144,28.09,77,33,3.55,AS,1704826728
93,selfoss,63.9331,-20.9971,6.14,76,75,10.43,IS,1704826659
94,kingston,17.997,-76.7936,30.69,64,20,11.32,JM,1704826728
95,mersa matruh,31.3525,27.2453,14.11,38,0,4.12,EG,1704826728
96,qaqortoq,60.7167,-46.0333,7.05,52,100,14.24,GL,1704826729
97,jinchang,38.4953,102.1739,-1.54,24,0,1.04,CN,1704826729
98,tarancon,40.0085,-3.0073,5.55,78,100,0.43,ES,1704826729
99,salinas,36.6777,-121.6555,14.91,72,100,0.0,US,1704826729
100,port lincoln,-34.7333,135.8667,15.51,86,0,1.58,AU,1704826729
101,kuanda,56.3161,116.0806,-27.6,91,55,0.8,RU,1704826730
102,kuqa,41.7278,82.9364,-2.25,53,9,0.57,CN,1704826730
103,hongwon,40.0253,127.9558,-4.1,58,0,2.14,KP,1704826730
104,stornoway,58.2093,-6.3865,-3.02,93,20,0.51,GB,1704826730
105,labrador city,52.9463,-66.9114,-19.05,60,40,5.14,CA,1704826669
106,manokwari,-0.8667,134.0833,25.93,82,100,2.29,ID,1704826731
107,san pedro,14.35,121.0167,26.57,91,100,0.89,PH,1704826731
108,springs,-26.25,28.4,18.15,93,100,1.69,ZA,1704826731
109,lisala,2.15,21.5167,25.42,35,100,0.91,CD,1704826732
110,kanniyakumari,8.0833,77.5667,25.11,84,100,11.22,IN,1704826688
111,san antonio de pale,-1.4014,5.6325,27.45,80,94,6.49,GQ,1704826732
112,ribeira grande,38.5167,-28.7,18.22,88,75,13.41,PT,1704826732
113,constantia,44.1833,28.65,-6.62,82,94,10.73,RO,1704826732
114,leamington,42.0549,-82.6062,4.39,100,100,4.92,CA,1704826577
115,faya-largeau,17.9257,19.1043,22.95,8,0,5.44,TD,1704826732
116,tura,25.5198,90.2201,12.87,61,0,0.94,IN,1704826733
117,sartell,45.6216,-94.2069,-2.12,84,100,4.12,US,1704826733
118,tolanaro,-25.0319,46.9987,25.04,78,40,7.2,MG,1704826668
119,port mathurin,-19.6833,63.4167,28.14,73,93,4.82,MU,1704826638
120,hilo,19.7297,-155.09,24.23,94,100,4.12,US,1704826733
121,santarem,-2.4431,-54.7083,32.07,62,75,6.17,BR,1704826733
122,kodiak,57.79,-152.4072,-0.27,74,0,3.6,US,1704826649
123,dame-marie,18.5667,-74.4167,27.99,62,6,1.23,HT,1704826734
124,kaitong,44.8135,123.15,-15.75,81,86,3.81,CN,1704826734
125,taltal,-25.4,-70.4833,21.57,69,26,2.76,CL,1704825925
126,baiyin,36.5583,104.2081,-2.77,36,0,0.16,CN,1704826734
127,undurkhaan,47.3194,110.6556,-10.2,80,16,7.61,MN,1704826734
128,ryotsu-minato,38.0833,138.4333,3.85,95,100,4.0,JP,1704826735
129,diego de almagro,-26.3667,-70.05,31.42,16,4,6.27,CL,1704826735
130,mitsamiouli,-11.3847,43.2844,27.93,75,52,2.13,KM,1704826735
131,saint-philippe,-21.3585,55.7679,25.77,84,100,6.4,RE,1704826735
132,ushuaia,-54.8,-68.3,9.79,57,75,10.29,AR,1704826680
133,boa vista,2.8197,-60.6733,25.99,73,75,3.6,BR,1704826736
134,sretensk,52.2453,117.7093,-26.03,99,100,0.33,RU,1704826736
135,el-tor,28.2364,33.6254,21.08,24,0,1.54,EG,1704826736
136,gadzhiyevo,69.2551,33.3362,-11.32,91,100,3.21,RU,1704826736
137,ancud,-41.8697,-73.8203,13.48,73,89,3.56,CL,1704826736
138,dryden,49.7833,-92.7503,-10.84,92,100,0.0,CA,1704826737
139,vangaindrano,-23.35,47.6,24.51,84,99,2.26,MG,1704826737
140,amahai,-3.3333,128.9167,26.72,82,100,3.44,ID,1704826737
141,howrah,22.5892,88.3103,17.0,82,0,0.0,IN,1704826737
142,shchuchyn,53.6014,24.7465,-4.46,94,100,5.67,BY,1704826577
143,praia,14.9215,-23.5087,25.3,65,75,8.23,CV,1704826737
144,iqaluit,63.7506,-68.5145,-25.15,62,75,7.72,CA,1704826738
145,tindouf,27.6711,-8.1474,20.25,21,100,2.06,DZ,1704826738
146,haiku-pauwela,20.9219,-156.3051,22.25,92,100,5.81,US,1704826738
147,georgetown,5.4112,100.3354,26.08,92,20,1.54,MY,1704826606
148,hamilton,39.1834,-84.5333,10.35,95,100,2.24,US,1704826738
149,morehead city,34.7229,-76.726,19.45,82,100,10.73,US,1704826482
150,gao,16.6362,1.637,24.34,10,5,4.68,ML,1704826738
151,igrim,63.1906,64.4162,-23.96,93,97,3.04,RU,1704826739
152,udachny,66.4167,112.4,-31.16,98,100,1.91,RU,1704826739
153,knyaze-volkonskoye,48.4642,135.4567,-23.81,98,16,2.16,RU,1704826739
154,ashoknagar,24.5667,77.7167,14.28,71,0,2.71,IN,1704826739
155,weno,7.4515,151.8468,28.08,73,100,11.09,FM,1704826739
156,berezovyy,51.6667,135.7,-27.28,91,5,1.64,RU,1704826740
157,thompson,55.7435,-97.8558,-27.91,76,75,1.54,CA,1704826651
158,utrik,11.2278,169.8474,26.76,73,100,10.07,MH,1704826687
159,dunedin,-45.8742,170.5036,12.67,91,100,1.79,NZ,1704826572
160,wulingyuan,29.3494,110.5441,7.89,88,0,1.47,CN,1704826740
161,severoural'sk,60.1533,59.952,-30.17,98,52,1.78,RU,1704826741
162,kapuskasing,49.4169,-82.4331,-10.95,85,100,4.12,CA,1704826733
163,newman,37.3138,-121.0208,10.59,75,100,2.68,US,1704826741
164,egilsstadir,65.2653,-14.3948,4.95,65,0,6.69,IS,1704826741
165,merizo village,13.2658,144.6691,27.85,84,11,10.03,GU,1704826741
166,alapayevsk,57.8516,61.6963,-18.88,92,100,2.88,RU,1704826742
167,el colorado,-26.3081,-59.3729,44.27,17,47,3.71,AR,1704826742
168,zharkent,44.1628,80.0,1.27,61,100,0.34,KZ,1704826742
169,nairn,57.5809,-3.8797,-1.26,100,100,0.0,GB,1704826743
170,nilanga,18.1,76.7667,20.53,57,87,3.01,IN,1704826743
171,gamba,-2.65,10.0,25.97,86,15,2.2,GA,1704826744
172,vilyuchinsk,52.9306,158.4028,-16.71,72,100,3.75,RU,1704826744
173,smithers,54.7804,-127.1743,-5.82,93,75,1.03,CA,1704826745
174,luderitz,-26.6481,15.1594,18.19,84,6,8.0,NA,1704826707
175,isafjordur,66.0755,-23.124,4.4,97,100,5.03,IS,1704826745
176,nuku'alofa,-21.1333,-175.2,26.19,94,40,0.51,TO,1704826727
177,hermanus,-34.4187,19.2345,19.86,81,100,6.54,ZA,1704826746
178,ayaviri,-14.8864,-70.5889,18.78,23,95,2.41,PE,1704826746
